reg.coeff,SE,t_val,p_val,species,vessel_id,fishery_lab,coeff_norm,rank_coeff
3.539485185,14.03145445,0.25225362,0.800857759,Shortfin makos,ETBF_4,Tuna longlines,0.101349129,133
1.461044235,14.0359244,0.104093196,0.917100513,Shortfin makos,ETBF_5,Tuna longlines,0.041835339,46
2.244686612,14.03595212,0.159924072,0.872948814,Shortfin makos,ETBF_6,Tuna longlines,0.064274046,105
2.034608853,14.03037164,0.145014609,0.884706511,Shortfin makos,ETBF_7,Tuna longlines,0.058258709,86
-13.06852851,354.365955,-0.036878623,0.970583591,Shortfin makos,ETBF_8,Tuna longlines,-0.538652564,6
1.323454032,14.03072291,0.094325434,0.924855285,Shortfin makos,ETBF_9,Tuna longlines,0.0378956,37
2.039853672,14.03023808,0.145389812,0.8844103,Shortfin makos,ETBF_10,Tuna longlines,0.058408888,87
2.54620418,14.03057272,0.181475427,0.856003446,Shortfin makos,ETBF_11,Tuna longlines,0.072907658,122
1.456657826,14.03292547,0.103802862,0.917330904,Shortfin makos,ETBF_12,Tuna longlines,0.041709739,45
1.921396112,14.03016463,0.13694751,0.891079052,Shortfin makos,ETBF_13,Tuna longlines,0.055016991,74
2.011047856,14.03119866,0.143326875,0.88603912,Shortfin makos,ETBF_14,Tuna longlines,0.057584066,83
-13.16556673,730.8429223,-0.018014222,0.98562839,Shortfin makos,ETBF_15,Tuna longlines,-0.542652241,4
0.763330677,14.03182598,0.054399953,0.956619183,Shortfin makos,ETBF_16,Tuna longlines,0.021857105,24
2.199863479,14.03048563,0.156791685,0.875416795,Shortfin makos,ETBF_17,Tuna longlines,0.062990587,102
2.494733319,14.03199506,0.177788925,0.858897584,Shortfin makos,ETBF_18,Tuna longlines,0.071433849,121
0.529181581,14.03613532,0.037701374,0.969927628,Shortfin makos,ETBF_19,Tuna longlines,0.015152512,20
2.309199654,14.0300054,0.164590076,0.869274808,Shortfin makos,ETBF_20,Tuna longlines,0.066121304,111
2.612807684,14.03061578,0.186221883,0.852280035,Shortfin makos,ETBF_21,Tuna longlines,0.074814774,124
2.262952814,14.03013974,0.161292251,0.871871224,Shortfin makos,ETBF_22,Tuna longlines,0.064797078,108
1.934093304,14.03067301,0.137847508,0.890367749,Shortfin makos,ETBF_23,Tuna longlines,0.05538056,76
2.866034208,14.03049179,0.204271828,0.838151286,Shortfin makos,ETBF_24,Tuna longlines,0.082065627,127
-12.80277562,516.1646364,-0.024803667,0.980212781,Shortfin makos,ETBF_25,Tuna longlines,-0.527698884,10
