fishery_lab,species,rank_coeff,coeff_norm,reg.coeff,t_val,p_val,SE
Tuna longlines,Albatrosses,70,-0.45708212223561867,-11.0895058239843,-6.42326238126063e-4,0.999487528768525,17264.6003942437
Tuna longlines,Albatrosses,95,0.522094284292582,18.2334569290315,0.0107583564712127,0.991416756995053,1694.81806796612
Tuna longlines,Albatrosses,34,-0.5339241739136433,-12.9538105914569,-4.60781303344253e-4,0.999632371907245,28112.708778418
Tuna longlines,Albatrosses,11,-0.6022185628480518,-14.610736091254,-5.44944118594782e-4,0.999565223756484,26811.4391782591
Tuna longlines,Albatrosses,120,0.55357150829468,19.3327576211764,0.0114069816933341,0.990899291966168,1694.81797559769
Tuna longlines,Albatrosses,61,-0.4797428871909915,-11.6392903653692,-7.83278919597184e-4,0.999375071614327,14859.7007709016
Tuna longlines,Albatrosses,48,-0.502717722858187,-12.1966947387678,-8.54740535381061e-4,0.999318056953714,14269.4703642788
Tuna longlines,Albatrosses,133,0.6358768330863137,22.2071629532547,0.0131029744347486,0.989546268979947,1694.81846002555
Tuna longlines,Albatrosses,14,-0.5917002518660551,-14.355545907217,-0.00151438573345928,0.998791768368849,9479.45136436599
Tuna longlines,Albatrosses,64,-0.47530838088069166,-11.5317025137288,-0.00108885594980948,0.999131271238093,10590.6594125206
Tuna longlines,Albatrosses,37,-0.528894518991905,-12.8317835314738,-4.55815512525491e-4,0.999636333795601,28151.2655424517
Tuna longlines,Albatrosses,31,-0.5368282843593722,-13.0242687173269,-5.48921309453763e-4,0.99956205060924,23727.0233328845
Tuna longlines,Albatrosses,56,-0.4882164170449419,-11.8448710566583,-0.0011671029519329,0.999068842969732,10148.9513303359
Tuna longlines,Albatrosses,43,-0.5132032323629555,-12.451089109197,-5.64737905518038e-4,0.999549431554806,22047.553365088
Tuna longlines,Albatrosses,81,0.48438791758515143,16.916611612018,0.00998136984404969,0.992036631871203,1694.81863474909
Tuna longlines,Albatrosses,78,-0.39857933673525275,-9.670139480465,-5.77360408675358e-4,0.99953936086371,16748.878750885
Tuna longlines,Albatrosses,39,-0.5243359177783418,-12.7211849491889,-3.50240535706331e-4,0.999720565350336,36321.2810976721
Tuna longlines,Albatrosses,62,-0.4792772433305183,-11.6279931387847,-0.00113471021309487,0.99909468705942,10247.5442668925
Tuna longlines,Albatrosses,105,0.5341432996005716,18.6542529581494,0.0110066401170293,0.99121867899252,1694.81810614374
Tuna longlines,Albatrosses,85,0.49698776530747396,17.3566447394992,0.0102410083391651,0.991829493415521,1694.81794806489
Tuna longlines,Albatrosses,47,-0.5029987724157255,-12.203513427475,-0.00147990565431332,0.998819277800939,8246.14284830031
Tuna longlines,Albatrosses,132,0.6286931196077368,21.9562811982866,0.0129549461160553,0.989664361337623,1694.81841156219
